asn,nb_hostnames
395747,1114
21664,567
213120,564
394192,239
394507,212
8075,65
2635,42
39572,38
22612,36
62567,35
11816,33
19551,26
16276,26
204915,26
215859,24
30148,22
31936,19
14853,19
46606,18
7979,17
211612,17
214455,13
63293,13
14907,12
60781,11
55293,11
401200,10
3457,10
133795,10
26496,9
53824,9
58061,8
26347,7
35744,6
5545,6
397423,6
31586,6
1152,6
41887,5
8560,5
36420,5
200325,5
33837,5
213232,5
15703,4
27647,4
31577,4
62003,4
12178,4
14441,4
16701,4
5761,3
24586,3
48645,3
8739,3
30500,3
40824,3
59692,3
206281,3
215740,3
8048,3
40021,3
44907,3
6185,3
30961,3
26666,3
36066,3
10480,2
23352,2
20847,2
7941,2
13442,2
208917,2
18945,2
13238,2
49714,2
30109,2
48254,2
63410,2
54994,2
62856,2
269954,2
35280,2
4258,2
51468,2
33191,2
212098,2
33265,2
9150,2
6698,2
20559,2
31673,2
202553,2
204800,2
22194,2
30340,2
39020,2
6724,2
64437,2
39292,2
202053,2
12092,2
397849,2
54641,2
20033,2
771,2
17668,2
11664,2
24595,2
52301,1
42422,1
401099,1
205111,1
50980,1
139144,1
49635,1
34019,1
51013,1
398743,1
22625,1
55081,1
44477,1
200428,1
214685,1
62243,1
3352,1
208561,1
13284,1
11014,1
200521,1
63362,1
45894,1
46475,1
36165,1
37963,1
33182,1
61144,1
139341,1
29001,1
393299,1
32494,1
3844,1
201106,1
14117,1
49665,1
13030,1
28398,1
1273,1
61049,1
61573,1
18881,1
12956,1
8231,1
48571,1
263945,1
8529,1
64126,1
328832,1
8195,1
10753,1
6057,1
62768,1
17025,1
395458,1
132337,1
19653,1
1000,1
6762,1
131073,1
328137,1
41722,1
28320,1
6496,1
18377,1
37662,1
6939,1
24600,1
262427,1
37251,1
15605,1
19422,1
56696,1
327788,1
1916,1
132602,1
50482,1
9730,1
15699,1
32338,1
205796,1
11081,1
27660,1
27968,1
26632,1
53332,1
33512,1
206264,1
205876,1
34953,1
197540,1
52489,1
263173,1
29222,1
214744,1
21221,1
399358,1
213192,1
51088,1
6621,1
210250,1
207647,1
28685,1
22653,1
36057,1
7859,1
396356,1
36459,1
398787,1
207970,1
8065,1
6306,1
17216,1
42567,1
204983,1
27264,1
4150,1
30600,1
400754,1
24482,1
26978,1
14415,1
28604,1
209377,1
200019,1
138650,1
12488,1
30246,1
12678,1
132832,1
214273,1
3816,1
15879,1
27862,1
3920,1
11281,1
12091,1
197902,1
393874,1
40476,1
29097,1
58182,1
41690,1
22720,1
26505,1
59939,1
27589,1
24611,1
7203,1
40699,1
15685,1
702,1
52438,1
48669,1
54913,1
32632,1
26752,1
57724,1
51514,1
9009,1
12640,1
393689,1
200195,1
213438,1
264648,1
25599,1
140688,1
200995,1
214390,1
39239,1
60114,1
34655,1
199524,1
398851,1
