asn,nb_hostnames
395747,4117
21664,1219
213120,767
394507,537
394192,464
16276,187
23352,182
204915,160
8075,147
62567,113
39572,83
215859,76
267797,73
22612,67
19551,59
26496,57
46606,49
31936,48
211612,42
2635,38
37963,37
8560,36
18840,33
14754,31
5545,28
63293,26
30148,26
133795,26
60781,25
214455,25
7979,23
25607,23
14853,22
14441,21
205193,20
14907,19
38369,19
40824,19
63410,17
36420,17
263765,16
12178,15
59692,15
48254,15
39020,14
3457,14
53667,14
27742,14
53824,14
54641,14
200325,12
200019,12
58521,12
139341,12
40021,11
26347,11
27589,11
23470,11
26666,11
10480,10
214124,10
42612,10
10753,10
42532,10
55293,9
213232,9
395458,9
17668,9
204800,9
58061,8
49981,8
57724,8
6496,8
31577,8
30961,8
141995,8
54994,8
197712,8
17025,8
400275,8
24600,8
64437,7
206264,7
401200,7
6762,7
328832,7
150078,7
25354,7
27999,7
200521,7
6698,7
18881,7
44907,6
52468,6
50482,6
37662,6
41722,6
62768,6
12956,6
328137,6
19653,6
28320,6
56696,6
132337,6
15605,6
28398,6
19422,6
3844,6
1916,6
8195,6
6057,6
263945,6
266697,6
215300,6
397849,6
33837,6
400754,6
13442,6
45090,6
56958,6
6939,6
33157,6
28036,6
199524,6
204450,6
36066,5
61976,5
29066,5
262185,5
19373,5
12322,5
202425,5
47846,5
14117,5
49287,5
6185,5
199218,5
139144,4
27761,4
397273,4
5761,4
138341,4
29169,4
137409,4
24482,4
3352,4
19648,4
30083,4
205796,4
16371,4
203178,4
42567,4
36080,4
3790,4
215740,4
202242,4
22720,4
27647,3
28753,3
56898,3
27823,3
23243,3
13238,3
49714,3
62243,3
63240,3
45352,3
136373,3
6327,3
52320,3
17984,3
8919,3
396390,3
61568,3
52167,3
45517,3
20764,3
2027,3
13786,3
51530,3
196753,3
64475,3
207841,3
270014,3
136620,3
5381,3
23520,3
48641,3
35360,3
8708,3
7589,3
15958,3
2614,3
14016,3
35600,3
38726,3
1031,3
29049,3
36678,3
35598,3
264409,3
52025,3
50628,3
14537,3
205920,3
15802,3
23576,3
262197,3
7941,3
34119,3
30058,3
24961,3
7859,3
398787,3
62068,3
28081,3
53755,3
59467,3
30340,3
56341,3
200928,3
7203,3
50980,3
1251,3
400940,3
139057,3
46475,3
49635,3
19447,3
200960,3
397423,3
36776,3
60144,3
33182,3
35280,3
27651,3
278,3
