asn,nb_hostnames
395747,3054
16276,1440
21664,1147
213120,754
394507,436
394192,231
50474,220
12322,189
8075,164
24600,126
8560,115
2057,100
19551,94
204915,83
39572,68
29222,66
62567,61
57633,46
215859,46
53589,42
29169,41
8228,39
60855,33
5545,31
8839,30
25117,29
2635,28
6656,28
210403,28
40824,27
209349,26
211612,23
31936,22
8304,22
14489,19
63293,19
34993,19
7979,18
50624,18
21409,16
214455,16
60362,16
210770,16
213394,15
50446,15
200356,15
14853,15
48140,14
200325,14
133795,14
12640,14
213232,14
6496,13
45666,13
203461,12
14907,12
60781,12
20776,12
197696,12
199636,12
15401,12
216353,11
28753,11
6738,11
401200,11
22612,10
35280,10
199777,10
4200000021,10
30148,9
54994,9
201085,9
199758,8
3457,8
48703,8
20529,8
205461,8
48744,8
39241,8
39104,8
12565,7
3259,7
1301,7
50583,7
25540,7
41653,7
33157,7
41233,7
201896,7
8195,7
26496,7
9159,6
48613,6
46606,6
58061,6
141995,6
38369,6
199167,6
43311,6
44297,6
62979,6
36420,5
39072,5
64437,5
27589,5
42845,5
57809,5
208128,5
214742,5
37963,5
31178,5
49981,5
21351,5
33837,5
59692,5
9009,5
6185,5
13273,5
199218,5
43424,4
197883,4
20986,4
51468,4
208353,4
39534,4
13193,4
210032,4
39162,4
44907,4
51888,4
47494,4
53824,4
51110,4
200019,4
205215,4
30961,4
43142,4
61098,4
26347,3
215300,3
29608,3
204835,3
26666,3
198610,3
9180,3
52034,3
204050,3
50980,3
61168,3
47836,3
31586,3
7941,3
8554,3
6,3
5761,3
43858,3
12178,3
328832,3
34235,3
200102,3
33930,3
25593,3
56898,3
6939,3
17025,3
7203,3
38926,2
36352,2
55293,2
210250,2
48809,2
214124,2
35744,2
376,2
34920,2
10753,2
53303,2
216154,2
47833,2
21000,2
33191,2
14824,2
30109,2
42567,2
197161,2
399566,2
60331,2
13238,2
49714,2
12678,2
202321,2
211068,2
202757,2
32338,2
200107,2
46844,2
202425,2
21217,2
51091,2
44527,2
204142,2
16128,2
211187,2
20994,2
61976,2
206264,2
44160,2
27647,2
15699,2
203797,2
206619,2
48594,2
41770,2
209097,2
199441,2
23576,2
46475,2
3320,2
15826,2
5410,2
10954,2
47818,2
40699,2
15456,2
62856,2
20033,2
15489,2
17668,2
23352,1
60230,1
44880,1
197816,1
393874,1
197562,1
2665,1
45090,1
43641,1
139341,1
44932,1
42929,1
61136,1
14782,1
210879,1
8705,1
328853,1
13571,1
199006,1
44901,1
198066,1
35344,1
329523,1
214390,1
48729,1
14441,1
28774,1
40994,1
51038,1
202213,1
54290,1
201425,1
52167,1
33392,1
36511,1
14340,1
397569,1
48684,1
47846,1
22653,1
39292,1
204648,1
142592,1
197690,1
203437,1
49635,1
43702,1
198978,1
29110,1
60550,1
20546,1
52120,1
213466,1
39444,1
199712,1
36786,1
198792,1
205860,1
39506,1
40244,1
2514,1
50618,1
48130,1
20847,1
31577,1
397273,1
9036,1
29691,1
5381,1
47447,1
37002,1
16265,1
138627,1
208789,1
399358,1
41690,1
49566,1
20900,1
47160,1
36459,1
16001,1
202669,1
39495,1
208226,1
208382,1
28604,1
197505,1
8069,1
28768,1
393845,1
42194,1
39020,1
39116,1
203596,1
62068,1
203984,1
48669,1
53850,1
24611,1
202053,1
39686,1
61251,1
24898,1
34749,1
34788,1
207809,1
57694,1
14813,1
29066,1
34655,1
209853,1
63362,1
207970,1
394303,1
49494,1
42585,1
36818,1
36666,1
199524,1
15685,1
14537,1
57173,1
138341,1
202628,1
51269,1
31221,1
43532,1
8768,1
50198,1
57724,1
62243,1
197788,1
208276,1
13601,1
62119,1
211316,1
48426,1
197551,1
12696,1
11281,1
34863,1
39896,1
47300,1
201595,1
393299,1
32494,1
3844,1
201106,1
14117,1
49665,1
13030,1
28398,1
1273,1
61049,1
61573,1
18881,1
12956,1
8231,1
48571,1
263945,1
8529,1
64126,1
6057,1
62768,1
395458,1
132337,1
19653,1
1000,1
6762,1
131073,1
328137,1
41722,1
28320,1
18377,1
37662,1
262427,1
37251,1
15605,1
19422,1
56696,1
327788,1
1916,1
132602,1
50482,1
9730,1
21449,1
42970,1
60368,1
197540,1
200339,1
6758,1
205762,1
53332,1
60592,1
16236,1
394277,1
44477,1
199997,1
24971,1
23470,1
40509,1
41191,1
53667,1
3920,1
45420,1
205193,1
398851,1
47608,1
696,1
29605,1
32903,1
139144,1
204561,1
39286,1
198340,1
44407,1
19853,1
204657,1
212815,1
35616,1
212562,1
8921,1
209928,1
31727,1
210274,1
39931,1
13442,1
13733,1
205010,1
48252,1
204371,1
50818,1
57168,1
42422,1
58182,1
50982,1
34306,1
8361,1
200508,1
28836,1
139057,1
204145,1
15703,1
31424,1
59689,1
56341,1
61144,1
32831,1
133409,1
24482,1
56798,1
200979,1
52580,1
45023,1
27264,1
4150,1
30600,1
205541,1
