asn,nb_hostnames
395747,4059
21664,1112
213120,674
394507,537
394192,433
204915,201
35540,201
8075,161
215859,148
62567,122
31960,71
39572,70
141995,67
19551,56
2635,54
22612,54
37153,52
214455,49
24768,48
46606,44
31936,38
25139,34
37963,34
63293,32
1897,31
14441,30
15201,29
52580,27
30148,26
38369,25
1916,25
8657,25
60068,24
14907,23
28604,22
60781,22
37223,21
12833,20
329184,19
26666,18
37436,18
37342,18
30619,17
133795,17
37096,17
40824,17
7979,16
37611,15
14853,15
200325,14
12178,14
139144,14
26496,14
204800,14
15317,13
55293,13
3457,13
37697,13
12322,13
200019,12
10480,12
58061,11
59692,11
36420,11
23352,11
5626,11
395458,11
327979,10
59787,10
33876,10
210403,10
58521,10
18881,10
47422,10
6496,9
266444,9
139341,9
45090,9
47846,8
44907,8
58294,8
8560,8
327951,8
10753,8
8195,8
49287,8
29169,8
24600,8
27589,7
63410,7
36865,7
62068,7
202492,7
328832,7
56696,7
17668,7
328137,7
6698,7
42235,6
198993,6
264254,6
62416,6
53667,6
12353,6
266400,6
49612,6
271755,6
150078,6
46475,6
50989,6
397273,6
3844,6
28398,6
12956,6
263945,6
6057,6
62768,6
17025,6
132337,6
19653,6
6762,6
41722,6
28320,6
37662,6
15605,6
19422,6
50482,6
24482,6
26347,6
137409,6
213232,6
199524,6
52320,6
4134,6
327755,5
49941,5
2018,5
37110,5
14466,5
53107,5
40021,5
6185,5
19648,5
202425,5
54994,5
48254,5
215300,5
13442,5
327700,5
398256,5
33182,5
63240,5
52468,5
45352,5
136373,5
6327,5
17984,5
9015,5
19782,5
61568,5
200039,5
132045,5
20764,5
2027,5
13786,5
51530,5
196753,5
64475,5
207841,5
270014,5
44684,5
35589,5
23520,5
48641,5
35360,5
8708,5
7589,5
15958,5
2614,5
14016,5
35600,5
38726,5
1031,5
29049,5
35598,5
264409,5
52025,5
50628,5
14537,5
205920,5
15802,5
54641,5
28753,4
44534,4
49714,4
12926,4
46864,4
8069,4
64437,4
44009,4
60144,4
27715,4
3920,4
53824,4
23470,4
199867,4
37489,4
397849,4
200449,4
37477,4
29066,4
1251,4
401200,4
328460,4
211922,4
31586,4
200107,4
37028,4
38365,4
199218,4
2715,3
10954,3
32017,3
139057,3
19200,3
42848,3
34342,3
263842,3
215740,3
34931,3
24611,3
328223,3
216154,3
62563,3
27647,3
11242,3
12258,3
7941,3
328174,3
328274,3
52148,3
205435,3
56898,3
28299,3
34920,3
50474,3
138341,3
34119,3
35425,3
270424,3
60550,3
50980,3
39384,3
6656,3
12640,3
37251,3
9129,3
23576,3
62243,2
63199,2
37010,2
14415,2
21612,2
33191,2
206264,2
207970,2
198032,2
20253,2
9009,2
49352,2
10881,2
46844,2
36945,2
142592,2
14315,2
4258,2
22720,2
400754,2
44477,2
